source_system,entity_name,procedure_number,lot_number,line_no,item_name,okpd_code,okpd_name,quantity,unit,price_rub,item_description,item_id_external,okei_code,unit_price_rub,line_total_rub,sberb2b_need_id,sberb2b_condition_id,unit_price_source,focus_category
sberbank_ast,АО Сбербанк Лизинг,82649492,1,1,Оказание услуг по организации и проведению командообразующего мероприятия для нужд Уральского регионального филиала АО «Сбербанк Лизинг».,,,1.0,шт,0.0,согласно ТЗ во вложении,287db8cc-5f95-4dba-9823-48103245c9bc,796,0.0,0.0,67d85982-073e-4de0-9859-0e28745abb4a,6e1a05fc-ed6a-4445-808b-caab0dca1a1f,sberb2b_goods_api,Other
sberbank_ast,ООО СберТех,82663323,1,1,"Маркерная пленка Wolly Pro, белая матовая, 1220 мм",22.29,Изделия пластмассовые прочие,6.0,пог. м,29961.300000000003,"Размеры: необходимо 4 шт. для одного окна – ширина 113 см высота 138 см Высокопрочное, износостойкое покрытие, позволяющее без усилий стирать маркер, даже если надписи были сделаны более месяца. Пленка Wolly Pro состоят из трех слоев: верхний специальный защитный ПЭТ слой, промежуточный слой ПВХ белого цвета и клеевой акриловый слой серого цвета, для перекрытия цвета оклеиваемой поверхности. Толщина пленок составляет 0,25 мм. Специальный клеевой слой маркерной пленки, который содержит ламели, позволяет с легкостью приклеивать пленку без образования воздушных пузырей и использования специальных инструментов.",b0376b55-fe63-45a1-a5df-a3baf26fd441,018,4993.55,29961.300000000003,83386bd5-5b7c-44de-b7f7-e581d92c9014,8ff910ed-8e80-4c24-a2f8-ffa2eb114978,sberb2b_goods_api,Infrastructure
sberbank_ast,ООО Страховой брокер Сбербанка,83087851,1,1,Бумага туалетная рулонная Торк (Tork) Premium T6 2-слойная белая 27 рулонов по 90 метров,,,10.0,шт,71030.0,рулонная Торк (Tork) Premium T6 2-слойная белая 27 рулонов по 90 метров,a6cc1208-bceb-427b-b5e2-25355b9b2222,796,7103.0,71030.0,dcb7c527-1127-4f4b-b1a9-7cfc900001df,aa91df78-1afd-4d6e-a5e8-8baa07abc865,sberb2b_goods_api,Other
sberbank_ast,ООО Страховой брокер Сбербанка,83087851,1,2,Полотенца бумажные листовые Торк (Tork) H3 V-сложение (ZZ) 1-слойные белые 20 пачек по 250 листов,,,20.0,шт,59840.0,листовые Торк (Tork) H3 V-сложение (ZZ) 1-слойные белые 20 пачек по 250 листов,e72cca40-94e1-4fcf-90a6-de37833c08c2,796,2992.0,59840.0,dcb7c527-1127-4f4b-b1a9-7cfc900001df,aa91df78-1afd-4d6e-a5e8-8baa07abc865,sberb2b_goods_api,Other
sberbank_ast,ООО Страховой брокер Сбербанка,83087851,1,3,Мыло жидкое Synergetic Миндальное молочко 5000 мл,,,8.0,шт,4702.56,Synergetic Миндальное молочко 5000 мл,66d262aa-9de2-406f-9db0-9ae734f041f3,796,587.82,4702.56,dcb7c527-1127-4f4b-b1a9-7cfc900001df,aa91df78-1afd-4d6e-a5e8-8baa07abc865,sberb2b_goods_api,Other
sberbank_ast,ООО Страховой брокер Сбербанка,83087851,1,4,Салфетки хозяйственные губчатые Paclan Soft целлюлоза 18x18 см 200 г/кв.м (2 штуки в упаковке),,,10.0,шт,1475.1,убчатые Paclan Soft целлюлоза 18x18 см 200 г/кв.м (2 штуки в упаковке),712bb814-0a06-4ac7-9f69-4dd6080f50f8,796,147.51,1475.1,dcb7c527-1127-4f4b-b1a9-7cfc900001df,aa91df78-1afd-4d6e-a5e8-8baa07abc865,sberb2b_goods_api,Other
sberbank_ast,ООО Страховой брокер Сбербанка,83087851,1,5,Универсальное чистящее средство Сиф Актив крем Лимон 500 мл,,,4.0,шт,698.6,Сиф Актив крем Лимон 500 мл,f1038adf-f1f6-4af5-bdd4-cc36f52039cc,796,174.65,698.6,dcb7c527-1127-4f4b-b1a9-7cfc900001df,aa91df78-1afd-4d6e-a5e8-8baa07abc865,sberb2b_goods_api,Other
sberbank_ast,ООО Страховой брокер Сбербанка,83087851,1,6,"Мешки для мусора 120 л черные (ПВД 30 мкм, 10 штук)",,,40.0,шт,6902.799999999999,"(ПВД 30 мкм, 10 штук)",468af528-4c09-41e9-aea4-b53006888901,796,172.57,6902.799999999999,dcb7c527-1127-4f4b-b1a9-7cfc900001df,aa91df78-1afd-4d6e-a5e8-8baa07abc865,sberb2b_goods_api,Other
sberbank_ast,ООО Страховой брокер Сбербанка,83087851,1,7,Блок для унитаза гигиенический Domestos Атлантик 3в1,,,12.0,шт,2263.44,гигиенический Domestos Атлантик 3в1,3bc27a4a-40b1-4754-96c6-7cf82e1d42d7,796,188.62,2263.44,dcb7c527-1127-4f4b-b1a9-7cfc900001df,aa91df78-1afd-4d6e-a5e8-8baa07abc865,sberb2b_goods_api,Other
sberbank_ast,ООО Страховой брокер Сбербанка,83087851,1,8,Салфетки хозяйственные в рулоне повышенной впитываемости Luscan вискоза 25x25 см 90 г/кв.м жёлтые (30 штук в упаковке),,,5.0,шт,2256.35,в рулоне повышенной впитываемости Luscan вискоза 25x25 см 90 г/кв.м жёлтые (30 штук в упаковке),fe42e382-a554-443d-b92d-27e652895879,796,451.27,2256.35,dcb7c527-1127-4f4b-b1a9-7cfc900001df,aa91df78-1afd-4d6e-a5e8-8baa07abc865,sberb2b_goods_api,Other
