source_system,platform_section,entity_name,customer_query,procedure_number,lot_number,subject,customer_name,region,status,tender_type,price_rub,deadline_at,detail_url,tags,published_at,application_deadline,method_name,currency,search_url,published_at_detail,application_deadline_detail,detail_price_rub,okpd_code,okpd_name,quantity,unit,delivery_place,method_name_detail,currency_detail,seller_name,seller_tax_id,documents_available,publication_month,publication_year,focus_category,duplicate_group_size
sberbank_ast,SberB2B,АО Сбербанк Лизинг,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК ЛИЗИНГ""",60299738,1,Оказания образовательных услуг по теме: «Трансформация команды ФБ – от личной трансформации руководителей к трансформации команды»,"АО ""СБЕРБАНК ЛИЗИНГ""",,Подача заявок,Запрос предложений в электронной форме,,2025-02-27 10:00:00,https://sberb2b.ru/request/supplier/preview/4a8ae01f-a47b-490f-85b5-721412e661ee,SberB2B,2025-02-25 10:03:00,2025-02-27 10:00:00,Запрос предложений в электронной форме,RUB,https://utp.sberbank-ast.ru/Main/List/UnitedPurchaseListNew,,,,,,,,,,,,,,2025-02,2025,Other,1
sberbank_ast,SberB2B,АО Сбербанк Лизинг,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК ЛИЗИНГ""",108903992,1,Поставка аккумуляторных батарей,"АО ""СБЕРБАНК ЛИЗИНГ""",,Подача заявок,Запрос предложений в электронной форме,,2025-02-26 12:00:00,https://sberb2b.ru/request/supplier/preview/9697f40c-a7bd-4ab8-906a-ddf420695404,SberB2B,2025-02-21 14:08:00,2025-02-26 12:00:00,Запрос предложений в электронной форме,RUB,https://utp.sberbank-ast.ru/Main/List/UnitedPurchaseListNew,,,,,,,,,,,,,,2025-02,2025,Other,1
sberbank_ast,SberB2B,АО Сбербанк Лизинг,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК ЛИЗИНГ""",46822614,1,"Поставка конвертов для нужд Байкальского регионального филиала АО ""Сбербанк Лизинг""","АО ""СБЕРБАНК ЛИЗИНГ""",,Подача заявок,Запрос предложений в электронной форме,,2025-02-26 12:00:00,https://sberb2b.ru/request/supplier/preview/9923a301-eb70-4a17-bea3-a64f684751f2,SberB2B,2025-02-20 19:51:00,2025-02-26 12:00:00,Запрос предложений в электронной форме,RUB,https://utp.sberbank-ast.ru/Main/List/UnitedPurchaseListNew,,,,,,,,,,,,,,2025-02,2025,Other,1
sberbank_ast,Торги коммерческих заказчиков,ООО Сбербанк-Телеком,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРБАНК-ТЕЛЕКОМ""",SBR028-2502190030.1,1,"Выполнение работ по ремонту и профилактическому обслуживанию офисной техники ООО ""Сбербанк-Телеком""","ООО ""СБЕРБАНК-ТЕЛЕКОМ""",,Завершен(-а),"Запрос предложений (закупка, с ЭП)",,2025-03-03 12:00:00,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/45/0/0/2783454,Торги коммерческих заказчиков,2025-02-19 17:22:00,2025-03-03 12:00:00,"Запрос предложений (закупка, с ЭП)",RUB,https://utp.sberbank-ast.ru/Main/List/UnitedPurchaseListNew,,,,,,,,,,,,,,2025-02,2025,Telecom & Devices,1
sberbank_ast,Торги коммерческих заказчиков,ООО Сбербанк-Телеком,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРБАНК-ТЕЛЕКОМ""",SBR028-2502190030.2,1,"Выполнение работ по ремонту и профилактическому обслуживанию офисной техники ООО ""Сбербанк-Телеком""","ООО ""СБЕРБАНК-ТЕЛЕКОМ""",,Завершен(-а),"Запрос предложений (закупка, с ЭП)",,2025-03-03 12:00:00,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/45/0/0/2783454,Торги коммерческих заказчиков,2025-02-19 17:22:00,2025-03-03 12:00:00,"Запрос предложений (закупка, с ЭП)",RUB,https://utp.sberbank-ast.ru/Main/List/UnitedPurchaseListNew,,,,,,,,,,,,,,2025-02,2025,Telecom & Devices,1
sberbank_ast,Торги коммерческих заказчиков,ООО Сбербанк-Телеком,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРБАНК-ТЕЛЕКОМ""",SBR028-2502190030.3,1,"Выполнение работ по ремонту и профилактическому обслуживанию офисной техники ООО ""Сбербанк-Телеком""","ООО ""СБЕРБАНК-ТЕЛЕКОМ""",,Завершен(-а),"Запрос предложений (закупка, с ЭП)",,2025-03-03 12:00:00,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/45/0/0/2783454,Торги коммерческих заказчиков,2025-02-19 17:22:00,2025-03-03 12:00:00,"Запрос предложений (закупка, с ЭП)",RUB,https://utp.sberbank-ast.ru/Main/List/UnitedPurchaseListNew,,,,,,,,,,,,,,2025-02,2025,Telecom & Devices,1
sberbank_ast,Торги коммерческих заказчиков,ООО Сбербанк-Телеком,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРБАНК-ТЕЛЕКОМ""",SBR028-2502190015.1,1,Оказание услуг по предоставлению во временное пользование волоконно-оптических линий связи (Москва),"ООО ""СБЕРБАНК-ТЕЛЕКОМ""",,В процессе проведения,"Запрос котировок (закупка, с ЭП)",,2025-03-03 20:00:00,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/48/0/0/2782353,Торги коммерческих заказчиков,2025-02-19 12:46:00,2025-03-03 20:00:00,"Запрос котировок (закупка, с ЭП)",RUB,https://utp.sberbank-ast.ru/Main/List/UnitedPurchaseListNew,,,,,,,,,,,,,,2025-02,2025,Telecom & Devices,1
sberbank_ast,Торги коммерческих заказчиков,ООО Сбербанк-Телеком,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРБАНК-ТЕЛЕКОМ""",SBR028-2502190015.2,1,Оказание услуг по предоставлению во временное пользование волоконно-оптических линий связи (Москва),"ООО ""СБЕРБАНК-ТЕЛЕКОМ""",,В процессе проведения,"Запрос котировок (закупка, с ЭП)",,2025-03-03 20:00:00,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/48/0/0/2782353,Торги коммерческих заказчиков,2025-02-19 12:46:00,2025-03-03 20:00:00,"Запрос котировок (закупка, с ЭП)",RUB,https://utp.sberbank-ast.ru/Main/List/UnitedPurchaseListNew,,,,,,,,,,,,,,2025-02,2025,Telecom & Devices,1
sberbank_ast,Торги коммерческих заказчиков,ООО Сбербанк-Телеком,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРБАНК-ТЕЛЕКОМ""",SBR028-2502190015.3,1,Оказание услуг по предоставлению во временное пользование волоконно-оптических линий связи (Москва),"ООО ""СБЕРБАНК-ТЕЛЕКОМ""",,В процессе проведения,"Запрос котировок (закупка, с ЭП)",,2025-03-03 20:00:00,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/48/0/0/2782353,Торги коммерческих заказчиков,2025-02-19 12:46:00,2025-03-03 20:00:00,"Запрос котировок (закупка, с ЭП)",RUB,https://utp.sberbank-ast.ru/Main/List/UnitedPurchaseListNew,,,,,,,,,,,,,,2025-02,2025,Telecom & Devices,1
sberbank_ast,Торги коммерческих заказчиков,ООО Сбербанк-Телеком,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРБАНК-ТЕЛЕКОМ""",SBR028-2502190010.1,1,Оказание услуг по предоставлению во временное пользование волоконно-оптических линий связи (Екатеринбург),"ООО ""СБЕРБАНК-ТЕЛЕКОМ""",,В процессе проведения,"Запрос котировок (закупка, с ЭП)",,2025-03-03 20:00:00,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/48/0/0/2782296,Торги коммерческих заказчиков,2025-02-19 12:12:00,2025-03-03 20:00:00,"Запрос котировок (закупка, с ЭП)",RUB,https://utp.sberbank-ast.ru/Main/List/UnitedPurchaseListNew,,,,,,,,,,,,,,2025-02,2025,Telecom & Devices,1
