source_system,procedure_number,lot_number,document_name,document_url,document_storage_name,document_mime_type,document_size_bytes,document_hash,is_available,local_path,extraction_method,text_chars,ocr_required,pii_findings_count
sberbank_ast,4186567,1,ТЗ_ДВРФ Владивосток.docx,https://sberb2b.ru/uploads/documents/04/44e/a36/0444ea3658d5a9e90d9a3ff928d00eb8.docx,0444ea3658d5a9e90d9a3ff928d00eb8.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,24170.0,0444ea3658d5a9e90d9a3ff928d00eb8,True,D:\Nikita\Work\purchase_analysis\data\raw\sberb2b\documents\4186567_001_ТЗ_ДВРФ Владивосток.docx,docx_xml,1474.0,False,0.0
sberbank_ast,79585355,1,ТЗ_ДВРФ Хабаровск.docx,https://sberb2b.ru/uploads/documents/3d/3f0/c55/3d3f0c55d88dd334d5626453b4d798a2.docx,3d3f0c55d88dd334d5626453b4d798a2.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,23911.0,3d3f0c55d88dd334d5626453b4d798a2,True,D:\Nikita\Work\purchase_analysis\data\raw\sberb2b\documents\79585355_001_ТЗ_ДВРФ Хабаровск.docx,docx_xml,1466.0,False,0.0
sberbank_ast,4545682,1,Запрос КП_дезинсекция.docx,https://sberb2b.ru/uploads/documents/d7/35f/04d/d735f04dc27ce1476c4c663b70d83dbb.docx,d735f04dc27ce1476c4c663b70d83dbb.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,25972.0,d735f04dc27ce1476c4c663b70d83dbb,True,D:\Nikita\Work\purchase_analysis\data\raw\sberb2b\documents\4545682_001_Запрос КП_дезинсекция.docx,docx_xml,3543.0,False,1.0
sberbank_ast,75119721,1,Запрос КП_офисная мебель.docx,https://sberb2b.ru/uploads/documents/0d/00b/896/0d00b8964b0e6dca4e60e5bc63c9fac6.docx,0d00b8964b0e6dca4e60e5bc63c9fac6.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,27588.0,0d00b8964b0e6dca4e60e5bc63c9fac6,True,D:\Nikita\Work\purchase_analysis\data\raw\sberb2b\documents\75119721_001_Запрос КП_офисная мебель.docx,docx_xml,3771.0,False,1.0
sberbank_ast,95973116,1,ТЗ.docx,https://sberb2b.ru/uploads/documents/63/44f/84c/6344f84c3cf252af47b879f3f571f4ac.docx,6344f84c3cf252af47b879f3f571f4ac.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,23966.0,6344f84c3cf252af47b879f3f571f4ac,True,D:\Nikita\Work\purchase_analysis\data\raw\sberb2b\documents\95973116_001_ТЗ.docx,docx_xml,1141.0,False,0.0
sberbank_ast,29346472,1,ТЗ.docx,https://sberb2b.ru/uploads/documents/b6/bb4/588/b6bb45882719787f3505eee4e81d0e84.docx,b6bb45882719787f3505eee4e81d0e84.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,28865.0,b6bb45882719787f3505eee4e81d0e84,True,D:\Nikita\Work\purchase_analysis\data\raw\sberb2b\documents\29346472_001_ТЗ.docx,docx_xml,4416.0,False,0.0
sberbank_ast,120859131,1,ТЗ.docx,https://sberb2b.ru/uploads/documents/d3/ffa/a31/d3ffaa3160a03213fa22ba29deb1ae41.docx,d3ffaa3160a03213fa22ba29deb1ae41.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,25507.0,d3ffaa3160a03213fa22ba29deb1ae41,True,D:\Nikita\Work\purchase_analysis\data\raw\sberb2b\documents\120859131_001_ТЗ.docx,docx_xml,2055.0,False,0.0
sberbank_ast,15705702,1,Запрос ценовой информации.docx,https://sberb2b.ru/uploads/documents/7b/3d9/cc7/7b3d9cc706a68b11d75a722e4fb3ef29.docx,7b3d9cc706a68b11d75a722e4fb3ef29.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,20765.0,7b3d9cc706a68b11d75a722e4fb3ef29,True,D:\Nikita\Work\purchase_analysis\data\raw\sberb2b\documents\15705702_001_Запрос ценовой информации.docx,docx_xml,2807.0,False,1.0
sberbank_ast,15705702,1,ТЗ.docx,https://sberb2b.ru/uploads/documents/e8/1d0/0c5/e81d00c54634a7bf02734d9bf94639f3.docx,e81d00c54634a7bf02734d9bf94639f3.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,16442.0,e81d00c54634a7bf02734d9bf94639f3,True,D:\Nikita\Work\purchase_analysis\data\raw\sberb2b\documents\15705702_002_ТЗ.docx,docx_xml,1397.0,False,0.0
sberbank_ast,36572906,1,Запрос КП.docx,https://sberb2b.ru/uploads/documents/1a/480/0b4/1a4800b4b5b67781568d7448590497eb.docx,1a4800b4b5b67781568d7448590497eb.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,21186.0,1a4800b4b5b67781568d7448590497eb,True,D:\Nikita\Work\purchase_analysis\data\raw\sberb2b\documents\36572906_001_Запрос КП.docx,docx_xml,2865.0,False,1.0
