entity_name,procedure_number,lot_number,subject,focus_category,price_rub,category_median_price,value_ratio_to_category_median,anomaly_type,anomaly_reason,detail_url
ПАО Сбербанк России,SBR028-2401260022.1,1,г. Саратов. Процедура продажи б.у. ИТ оборудования в количестве 50 штук.,Other,100000.0,,2.0,repeated_subject_price_shift,same subject price spread 2.00x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/1549009
ПАО Сбербанк России,SBR028-2401250022.1,1,Простая продажа (продажа без ЭП) на право заключения Договора реализации бывшего в употреблении (использовавшегося в процессе осуществления деятельности Банка) имущества Банка следующих видов: устройства самообслуживания (банкоматы).,Other,100000.0,,91.2168,repeated_subject_price_shift,same subject price spread 91.22x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/1546375
ПАО Сбербанк России,SBR028-2401090030.1,1,г. Ставрополь. Процедура продажи б.у. ИТ оборудования в количестве 100 штук.,Other,100000.0,,3.3333333333333335,repeated_subject_price_shift,same subject price spread 3.33x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/1508469
АО Сбербанк-АСТ,124040848,1,Оказание услуг питания,Other,99000.0,,2.2048997772828507,repeated_subject_price_shift,same subject price spread 2.20x,https://sberb2b.ru/request/supplier/preview/c0c29506-1c88-4641-a422-4740b9c25a1b
ПАО Сбербанк России,SBR028-2411110023.1,1,г. Екатеринбург. Процедура продажи б.у. ИТ оборудования в количестве 123 штук.,Other,98500.0,,2.1792035398230087,repeated_subject_price_shift,same subject price spread 2.18x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/2474708
ПАО Сбербанк России,SBR028-2408190077.1,1,г. Ставрополь. Процедура продажи б.у. ИТ оборудования в количестве 15 штук.,Other,97500.0,,2.230769230769231,repeated_subject_price_shift,same subject price spread 2.23x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/2230545
ПАО Сбербанк России,SBR028-2406250049.1,1,г. Москва-8. Процедура продажи б.у. ИТ оборудования в количестве 150 штук.,Other,97500.0,,9.23076923076923,repeated_subject_price_shift,same subject price spread 9.23x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/2077160
ПАО Сбербанк России,SBR028-2408190052.1,1,г. Санкт-Петербург 2. Процедура продажи б.у. ИТ оборудования в количестве 37 штук.,Other,96800.0,,8.72072072072072,repeated_subject_price_shift,same subject price spread 8.72x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/2230493
ПАО Сбербанк России,SBR028-2509080042.1,1,г. Москва-3. Процедура продажи б.у. ИТ оборудования в количестве 15 штук.,Other,96000.0,,3.3684210526315788,repeated_subject_price_shift,same subject price spread 3.37x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/3392806
ПАО Сбербанк России,SBR028-2404100069.1,1,г. Санкт-Петербург 3. Процедура продажи б.у. ИТ оборудования в количестве 32 штук.,Other,96000.0,,3.75,repeated_subject_price_shift,same subject price spread 3.75x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/1827466
