factor_date,usd_rub,nominal
2024-12-27,99.2295,1.0
2024-12-28,100.5281,1.0
2024-12-29,101.6797,1.0
2025-01-10,102.2911,1.0
2025-01-11,101.9146,1.0
2025-01-14,102.7081,1.0
2025-01-15,103.438,1.0
2025-01-16,102.8078,1.0
2025-01-17,102.3762,1.0
2025-01-18,102.4137,1.0
2025-01-21,101.9579,1.0
2025-01-22,99.9282,1.0
2025-01-23,98.2804,1.0
2025-01-24,99.0978,1.0
2025-01-25,98.2636,1.0
2025-01-28,97.132,1.0
2025-01-29,97.9658,1.0
2025-01-30,98.0126,1.0
2025-01-31,98.0062,1.0
2025-02-01,97.8107,1.0
2025-02-04,99.9433,1.0
2025-02-05,98.5336,1.0
2025-02-06,98.0556,1.0
2025-02-07,96.9104,1.0
2025-02-08,97.2762,1.0
2025-02-11,96.7821,1.0
2025-02-12,95.8024,1.0
2025-02-13,94.0485,1.0
2025-02-14,91.0313,1.0
2025-02-15,90.3099,1.0
2025-02-18,91.4347,1.0
2025-02-19,91.3398,1.0
2025-02-20,90.4268,1.0
2025-02-21,88.5103,1.0
2025-02-22,88.1676,1.0
2025-02-25,88.2065,1.0
2025-02-26,86.6318,1.0
2025-02-27,85.9279,1.0
2025-02-28,87.6967,1.0
2025-03-01,88.2568,1.0
2025-03-04,89.2497,1.0
2025-03-05,89.2448,1.0
2025-03-06,89.7878,1.0
2025-03-07,89.5724,1.0
2025-03-08,89.1362,1.0
2025-03-11,88.3872,1.0
2025-03-12,86.5669,1.0
2025-03-13,86.6204,1.0
2025-03-14,86.619,1.0
2025-03-15,85.5694,1.0
2025-03-18,84.3059,1.0
2025-03-19,81.5018,1.0
2025-03-20,82.8487,1.0
2025-03-21,84.3955,1.0
2025-03-22,84.64,1.0
2025-03-25,83.8737,1.0
2025-03-26,84.193,1.0
2025-03-27,84.2065,1.0
2025-03-28,83.8347,1.0
2025-03-29,83.6813,1.0
2025-04-01,85.4963,1.0
2025-04-02,84.8707,1.0
2025-04-03,84.5522,1.0
2025-04-04,84.383,1.0
2025-04-05,84.2774,1.0
2025-04-08,86.1891,1.0
2025-04-09,85.4641,1.0
2025-04-10,86.0923,1.0
2025-04-11,85.0159,1.0
2025-04-12,84.004,1.0
2025-04-15,82.7671,1.0
2025-04-16,82.3003,1.0
2025-04-17,82.5892,1.0
2025-04-18,82.02,1.0
2025-04-19,81.1371,1.0
2025-04-22,80.7597,1.0
2025-04-23,81.462,1.0
2025-04-24,82.3637,1.0
2025-04-25,82.8559,1.0
2025-04-26,82.6549,1.0
2025-04-29,82.5467,1.0
2025-04-30,81.5616,1.0
2025-05-01,81.4933,1.0
2025-05-06,81.9137,1.0
2025-05-07,80.9644,1.0
2025-05-08,80.8612,1.0
2025-05-13,80.8883,1.0
2025-05-14,80.55,1.0
2025-05-15,80.2237,1.0
2025-05-16,80.3134,1.0
2025-05-17,80.7689,1.0
2025-05-20,80.4137,1.0
2025-05-21,80.3075,1.0
2025-05-22,79.753,1.0
2025-05-23,79.7357,1.0
2025-05-24,79.7108,1.0
2025-05-27,79.6588,1.0
2025-05-28,79.6176,1.0
2025-05-29,79.6037,1.0
2025-05-30,78.497,1.0
2025-05-31,78.6171,1.0
2025-06-03,79.1285,1.0
2025-06-04,78.8549,1.0
2025-06-05,78.5025,1.0
2025-06-06,79.1272,1.0
2025-06-07,79.1703,1.0
2025-06-10,79.1543,1.0
2025-06-11,78.6003,1.0
2025-06-12,79.0028,1.0
2025-06-17,78.5067,1.0
2025-06-18,78.7135,1.0
2025-06-19,78.7174,1.0
2025-06-20,78.4839,1.0
2025-06-21,78.5016,1.0
2025-06-24,78.2923,1.0
2025-06-25,78.3892,1.0
2025-06-26,78.1959,1.0
2025-06-27,78.2117,1.0
2025-06-28,78.4685,1.0
2025-07-01,78.5284,1.0
2025-07-02,78.4181,1.0
2025-07-03,78.654,1.0
2025-07-04,78.7831,1.0
2025-07-05,78.8354,1.0
2025-07-08,78.7185,1.0
2025-07-09,78.1682,1.0
2025-07-10,78.1727,1.0
2025-07-11,77.9029,1.0
2025-07-12,77.8855,1.0
2025-07-15,78.3722,1.0
2025-07-16,77.9584,1.0
2025-07-17,77.9585,1.0
2025-07-18,78.1856,1.0
2025-07-19,78.3129,1.0
2025-07-22,78.3274,1.0
2025-07-23,78.0882,1.0
2025-07-24,78.4477,1.0
2025-07-25,78.8623,1.0
2025-07-26,79.5527,1.0
2025-07-29,79.5782,1.0
2025-07-30,82.2197,1.0
2025-07-31,81.8347,1.0
2025-08-01,80.3163,1.0
2025-08-02,80.3289,1.0
2025-08-05,79.6736,1.0
2025-08-06,80.049,1.0
2025-08-07,80.1914,1.0
2025-08-08,79.3847,1.0
2025-08-09,79.7796,1.0
2025-08-12,79.6677,1.0
2025-08-13,79.8714,1.0
2025-08-14,79.6032,1.0
2025-08-15,79.7653,1.0
2025-08-16,80.0224,1.0
2025-08-19,80.4256,1.0
2025-08-20,80.3466,1.0
2025-08-21,80.1045,1.0
2025-08-22,80.2548,1.0
2025-08-23,80.7498,1.0
2025-08-26,80.6842,1.0
2025-08-27,80.5268,1.0
2025-08-28,80.4421,1.0
2025-08-29,80.2918,1.0
2025-08-30,80.3316,1.0
2025-09-02,80.4261,1.0
2025-09-03,80.5947,1.0
2025-09-04,80.8488,1.0
2025-09-05,81.2977,1.0
2025-09-06,81.5556,1.0
2025-09-09,82.3397,1.0
2025-09-10,83.2425,1.0
2025-09-11,84.9211,1.0
2025-09-12,85.6647,1.0
2025-09-13,84.3798,1.0
2025-09-16,83.0718,1.0
2025-09-17,82.8359,1.0
2025-09-18,82.9987,1.0
2025-09-19,83.1725,1.0
2025-09-20,83.5904,1.0
2025-09-23,84.0186,1.0
2025-09-24,83.3506,1.0
2025-09-25,83.9914,1.0
2025-09-26,83.6069,1.0
2025-09-27,83.6118,1.0
2025-09-30,82.8676,1.0
2025-10-01,82.6084,1.0
2025-10-02,81.4967,1.0
2025-10-03,81.0085,1.0
2025-10-04,81.8969,1.0
2025-10-07,83.0,1.0
2025-10-08,81.9349,1.0
2025-10-09,81.5478,1.0
2025-10-10,81.4103,1.0
2025-10-11,81.1898,1.0
2025-10-14,80.8548,1.0
2025-10-15,79.9589,1.0
2025-10-16,78.839,1.0
2025-10-17,79.0839,1.0
2025-10-18,80.9834,1.0
2025-10-21,81.3582,1.0
2025-10-22,81.3475,1.0
2025-10-23,81.6549,1.0
2025-10-24,81.269,1.0
2025-10-25,80.9713,1.0
2025-10-28,78.9848,1.0
2025-10-29,79.8174,1.0
2025-10-30,79.4715,1.0
2025-10-31,80.5037,1.0
2025-11-01,80.9756,1.0
2025-11-02,80.8861,1.0
2025-11-06,81.1885,1.0
2025-11-07,81.3765,1.0
2025-11-08,81.2257,1.0
2025-11-11,81.0132,1.0
2025-11-12,81.3562,1.0
2025-11-13,81.2852,1.0
2025-11-14,80.601,1.0
2025-11-15,81.1276,1.0
2025-11-18,81.1302,1.0
2025-11-19,81.0547,1.0
2025-11-20,80.9448,1.0
2025-11-21,80.7321,1.0
2025-11-22,79.0246,1.0
2025-11-25,78.9202,1.0
2025-11-26,78.9615,1.0
2025-11-27,78.5941,1.0
2025-11-28,78.2503,1.0
2025-11-29,78.2284,1.0
2025-12-02,77.7027,1.0
2025-12-03,77.4631,1.0
2025-12-04,77.9556,1.0
2025-12-05,76.9708,1.0
2025-12-06,76.0937,1.0
2025-12-09,77.2733,1.0
2025-12-10,76.8084,1.0
2025-12-11,77.8998,1.0
2025-12-12,79.3398,1.0
2025-12-13,79.7296,1.0
2025-12-16,79.4495,1.0
2025-12-17,79.4302,1.0
2025-12-18,80.3807,1.0
2025-12-19,80.0301,1.0
2025-12-20,80.722,1.0
2025-12-23,79.3146,1.0
2025-12-24,78.585,1.0
2025-12-25,78.4368,1.0
2025-12-26,77.8844,1.0
2025-12-27,77.6923,1.0
2025-12-30,77.4466,1.0
2025-12-31,78.2267,1.0
